Track_Name,Artist,Album,Genre,Release_Year,Streams_Millions,Popularity,Danceability,Energy,Tempo,Duration_ms
Track_1,Justin Bieber,Greatest Hits,Pop,2021,251.15,54,0.38,0.37,154,262964
Track_2,Taylor Swift,Top Charts,EDM,2010,31.67,53,0.44,0.69,131,172124
Track_3,Olivia Rodrigo,Top Charts,EDM,2013,407.04,57,0.79,0.3,163,161853
Track_4,Olivia Rodrigo,Golden Era,Rock,2014,144.15,88,0.5,0.36,72,214104
Track_5,Rihanna,Midnight Vibes,R&B,2014,727.38,86,0.58,0.38,178,219230
Track_6,Taylor Swift,Top Charts,Rock,2023,567.63,96,0.82,0.68,150,138233
Track_7,Drake,Future Sounds,Latin,2014,886.77,94,0.44,0.37,95,238858
Track_8,Justin Bieber,Midnight Vibes,Hip-Hop,2015,322.97,82,0.46,0.91,142,138717
Track_9,Dua Lipa,Future Sounds,R&B,2021,224.11,69,0.53,0.94,141,300397
Track_10,BTS,Future Sounds,Alternative,2015,759.35,89,0.33,0.83,163,202694
Track_11,Billie Eilish,Midnight Vibes,Pop,2013,822.26,76,0.83,0.5,143,250870
Track_12,Billie Eilish,Golden Era,Hip-Hop,2014,129.97,87,0.64,0.47,134,232311
Track_13,Eminem,Top Charts,EDM,2015,201.29,48,0.61,0.36,66,148743
Track_14,The Weeknd,Future Sounds,Latin,2020,382.83,44,0.53,0.69,119,258704
Track_15,Ariana Grande,Top Charts,Latin,2010,613.85,47,0.71,0.65,94,288024
Track_16,Bad Bunny,Greatest Hits,Rock,2016,146.55,40,0.87,0.87,93,251225
Track_17,Coldplay,Future Sounds,R&B,2024,100.24,80,0.48,0.72,137,172143
Track_18,The Weeknd,Midnight Vibes,Latin,2012,487.74,89,0.85,0.9,136,204975
Track_19,Post Malone,Greatest Hits,Pop,2024,329.87,93,0.78,0.46,90,268729
Track_20,Taylor Swift,Greatest Hits,Alternative,2017,735.34,88,0.62,0.38,144,244592
Track_21,BTS,Future Sounds,Rock,2018,785.83,67,0.88,0.9,156,311347
Track_22,Olivia Rodrigo,Future Sounds,Alternative,2014,362.1,82,0.69,0.58,126,238354
Track_23,Taylor Swift,Future Sounds,Hip-Hop,2011,307.59,77,0.63,0.68,60,138610
Track_24,Olivia Rodrigo,Greatest Hits,Hip-Hop,2011,815.35,95,0.5,0.63,95,295368
Track_25,Post Malone,Future Sounds,R&B,2012,652.4,96,0.64,0.61,160,243987
Track_26,Coldplay,Golden Era,Hip-Hop,2011,91.75,67,0.51,0.57,170,311122
Track_27,Drake,Greatest Hits,Pop,2016,656.75,91,0.82,0.46,84,260584
Track_28,Post Malone,Future Sounds,EDM,2012,254.3,55,0.82,0.35,163,264264
Track_29,Taylor Swift,Greatest Hits,Alternative,2018,753.24,45,0.86,0.85,81,226539
Track_30,Post Malone,Golden Era,Hip-Hop,2023,363.93,43,0.4,0.3,109,189521
Track_31,Eminem,Golden Era,Rock,2016,628.45,86,0.9,0.66,151,247577
Track_32,The Weeknd,Future Sounds,Rock,2013,871.99,77,0.74,0.34,100,134985
Track_33,Drake,Top Charts,EDM,2018,827.85,73,0.39,0.92,70,168712
Track_34,Taylor Swift,Top Charts,Pop,2020,776.33,65,0.37,0.88,91,271760
Track_35,Dua Lipa,Greatest Hits,R&B,2011,380.21,77,0.64,0.51,93,173545
Track_36,Justin Bieber,Midnight Vibes,Hip-Hop,2014,359.23,82,0.69,0.6,178,317096
Track_37,Eminem,Greatest Hits,Pop,2017,560.94,76,0.9,0.35,87,252614
Track_38,Ariana Grande,Future Sounds,Rock,2024,66.57,55,0.52,0.4,166,262401
Track_39,Olivia Rodrigo,Midnight Vibes,R&B,2022,590.31,40,0.7,0.66,179,293903
Track_40,Taylor Swift,Future Sounds,Rock,2011,801.29,87,0.63,0.48,137,175215
Track_41,Olivia Rodrigo,Midnight Vibes,Hip-Hop,2020,572.64,56,0.6,0.46,176,133316
Track_42,Taylor Swift,Golden Era,Latin,2014,44.46,61,0.76,0.71,93,162357
Track_43,Olivia Rodrigo,Golden Era,R&B,2021,387.78,40,0.37,0.91,148,159073
Track_44,BTS,Greatest Hits,Latin,2015,526.35,49,0.56,0.33,106,130458
Track_45,Eminem,Midnight Vibes,Hip-Hop,2020,228.33,46,0.51,0.66,171,226529
Track_46,Dua Lipa,Future Sounds,Hip-Hop,2023,150.44,91,0.79,0.87,63,167018
Track_47,Olivia Rodrigo,Midnight Vibes,Latin,2024,373.48,82,0.82,0.83,94,161732
Track_48,Coldplay,Greatest Hits,EDM,2023,39.66,70,0.43,0.83,118,211660
Track_49,Ariana Grande,Future Sounds,Hip-Hop,2010,595.73,65,0.5,0.86,158,193170
Track_50,Bad Bunny,Top Charts,EDM,2020,883.13,74,0.5,0.32,172,188475
Track_51,The Weeknd,Top Charts,Rock,2010,102.02,67,0.51,0.81,115,278914
Track_52,BTS,Greatest Hits,EDM,2024,521.05,56,0.33,0.58,126,261151
Track_53,Justin Bieber,Future Sounds,Rock,2016,67.63,82,0.85,0.71,144,152669
Track_54,Olivia Rodrigo,Midnight Vibes,R&B,2014,601.87,60,0.54,0.49,76,170289
Track_55,Billie Eilish,Golden Era,Alternative,2021,813.01,79,0.64,0.56,166,120106
Track_56,Ariana Grande,Midnight Vibes,Hip-Hop,2016,708.25,78,0.69,0.6,116,297111
Track_57,Ed Sheeran,Top Charts,EDM,2022,811.56,90,0.74,0.73,96,255122
Track_58,Justin Bieber,Top Charts,Rock,2011,737.49,88,0.44,0.5,163,172200
Track_59,The Weeknd,Greatest Hits,Pop,2013,885.62,79,0.81,0.35,113,285089
Track_60,Dua Lipa,Future Sounds,Alternative,2021,348.66,65,0.45,0.73,60,316860
Track_61,Rihanna,Greatest Hits,Latin,2016,200.86,91,0.87,0.64,66,266120
Track_62,Ed Sheeran,Greatest Hits,EDM,2012,722.27,82,0.62,0.66,100,317984
Track_63,Eminem,Golden Era,R&B,2023,648.75,72,0.56,0.89,117,161722
Track_64,Olivia Rodrigo,Golden Era,EDM,2014,677.84,93,0.68,0.8,126,247034
Track_65,Justin Bieber,Future Sounds,Rock,2017,74.35,58,0.44,0.52,174,261597
